"BehaviorSpace results (NetLogo 6.2.1)"
"EjemploCentGradoRedesDiferentes.nlogo"
"Aleat-vs-Pref"
"08/31/2022 13:29:56:919 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","prob-difusión","num-semillas","tipo-semillas","tipo-red","num-nodos","[step]","ticks"
"360","10","3","grado+","aleatoria","200","50","50"
"359","10","3","grado+","aleatoria","200","54","54"
"363","10","3","grado+","aleatoria","200","31","31"
"366","10","3","grado+","aleatoria","200","34","34"
"353","10","3","grado+","aleatoria","200","102","102"
"364","10","3","grado+","aleatoria","200","39","39"
"361","10","3","grado+","aleatoria","200","48","48"
"362","10","3","grado+","aleatoria","200","49","49"
"365","10","3","grado+","aleatoria","200","43","43"
"368","10","3","grado+","aleatoria","200","48","48"
"370","10","3","grado+","aleatoria","200","36","36"
"367","10","3","grado+","aleatoria","200","57","57"
"371","10","3","grado+","aleatoria","200","41","41"
"369","10","3","grado+","aleatoria","200","50","50"
"373","10","3","grado+","aleatoria","200","32","32"
"372","10","3","grado+","aleatoria","200","39","39"
"374","10","3","grado+","aleatoria","200","39","39"
"375","10","3","grado+","aleatoria","200","42","42"
"376","10","3","grado+","aleatoria","200","36","36"
"377","10","3","grado+","aleatoria","200","34","34"
"379","10","3","grado+","aleatoria","200","41","41"
"378","10","3","grado+","aleatoria","200","50","50"
"381","10","3","grado+","aleatoria","200","35","35"
"382","10","3","grado+","aleatoria","200","48","48"
"384","10","3","grado+","aleatoria","200","42","42"
"385","10","3","grado+","aleatoria","200","41","41"
"383","10","3","grado+","aleatoria","200","48","48"
"380","10","3","grado+","aleatoria","200","67","67"
"386","10","3","grado+","aleatoria","200","37","37"
"387","10","3","grado+","aleatoria","200","49","49"
"390","10","3","grado+","aleatoria","200","47","47"
"389","10","3","grado+","aleatoria","200","45","45"
"392","10","3","grado+","aleatoria","200","54","54"
"391","10","3","grado+","aleatoria","200","52","52"
"393","10","3","grado+","aleatoria","200","45","45"
"388","10","3","grado+","aleatoria","200","75","75"
"395","10","3","grado+","aleatoria","200","35","35"
"394","10","3","grado+","aleatoria","200","57","57"
"397","10","3","grado+","aleatoria","200","42","42"
"396","10","3","grado+","aleatoria","200","45","45"
"399","10","3","grado+","aleatoria","200","40","40"
"398","10","3","grado+","aleatoria","200","60","60"
"400","10","3","grado+","aleatoria","200","57","57"
"404","10","3","grado+","aleatoria","250","41","41"
"403","10","3","grado+","aleatoria","250","64","64"
"401","10","3","grado+","aleatoria","250","61","61"
"402","10","3","grado+","aleatoria","250","57","57"
"405","10","3","grado+","aleatoria","250","62","62"
"406","10","3","grado+","aleatoria","250","53","53"
"407","10","3","grado+","aleatoria","250","53","53"
"408","10","3","grado+","aleatoria","250","47","47"
"410","10","3","grado+","aleatoria","250","59","59"
"409","10","3","grado+","aleatoria","250","69","69"
"412","10","3","grado+","aleatoria","250","54","54"
"415","10","3","grado+","aleatoria","250","45","45"
"411","10","3","grado+","aleatoria","250","58","58"
"413","10","3","grado+","aleatoria","250","65","65"
"416","10","3","grado+","aleatoria","250","44","44"
"414","10","3","grado+","aleatoria","250","68","68"
"422","10","3","grado+","aleatoria","250","39","39"
"419","10","3","grado+","aleatoria","250","50","50"
"421","10","3","grado+","aleatoria","250","43","43"
"420","10","3","grado+","aleatoria","250","58","58"
"423","10","3","grado+","aleatoria","250","47","47"
"417","10","3","grado+","aleatoria","250","67","67"
"424","10","3","grado+","aleatoria","250","59","59"
"425","10","3","grado+","aleatoria","250","39","39"
"427","10","3","grado+","aleatoria","250","36","36"
"426","10","3","grado+","aleatoria","250","50","50"
"430","10","3","grado+","aleatoria","250","44","44"
"418","10","3","grado+","aleatoria","250","125","125"
"432","10","3","grado+","aleatoria","250","40","40"
"431","10","3","grado+","aleatoria","250","40","40"
"428","10","3","grado+","aleatoria","250","67","67"
"429","10","3","grado+","aleatoria","250","65","65"
"435","10","3","grado+","aleatoria","250","44","44"
"434","10","3","grado+","aleatoria","250","48","48"
"433","10","3","grado+","aleatoria","250","57","57"
"436","10","3","grado+","aleatoria","250","41","41"
"439","10","3","grado+","aleatoria","250","37","37"
"438","10","3","grado+","aleatoria","250","45","45"
"437","10","3","grado+","aleatoria","250","47","47"
"440","10","3","grado+","aleatoria","250","51","51"
"443","10","3","grado+","aleatoria","250","32","32"
"441","10","3","grado+","aleatoria","250","45","45"
"447","10","3","grado+","aleatoria","250","43","43"
"446","10","3","grado+","aleatoria","250","48","48"
"444","10","3","grado+","aleatoria","250","73","73"
"450","10","3","grado+","aleatoria","250","46","46"
"449","10","3","grado+","aleatoria","250","50","50"
"445","10","3","grado+","aleatoria","250","78","78"
"442","10","3","grado+","aleatoria","250","97","97"
"448","10","3","grado+","aleatoria","250","60","60"
"451","10","3","grado+","aleatoria","250","58","58"
"452","10","3","grado+","aleatoria","250","58","58"
"458","10","3","grado+","aleatoria","250","40","40"
"453","10","3","grado+","aleatoria","250","48","48"
"454","10","3","grado+","aleatoria","250","50","50"
"457","10","3","grado+","aleatoria","250","51","51"
"456","10","3","grado+","aleatoria","250","55","55"
"455","10","3","grado+","aleatoria","250","63","63"
"463","10","3","grado+","aleatoria","250","37","37"
"465","10","3","grado+","aleatoria","250","35","35"
"464","10","3","grado+","aleatoria","250","43","43"
"461","10","3","grado+","aleatoria","250","52","52"
"460","10","3","grado+","aleatoria","250","70","70"
"459","10","3","grado+","aleatoria","250","68","68"
"466","10","3","grado+","aleatoria","250","49","49"
"462","10","3","grado+","aleatoria","250","68","68"
"467","10","3","grado+","aleatoria","250","47","47"
"470","10","3","grado+","aleatoria","250","42","42"
"469","10","3","grado+","aleatoria","250","48","48"
"474","10","3","grado+","aleatoria","250","42","42"
"473","10","3","grado+","aleatoria","250","47","47"
"471","10","3","grado+","aleatoria","250","58","58"
"468","10","3","grado+","aleatoria","250","74","74"
"475","10","3","grado+","aleatoria","250","42","42"
"472","10","3","grado+","aleatoria","250","67","67"
"477","10","3","grado+","aleatoria","250","45","45"
"476","10","3","grado+","aleatoria","250","59","59"
"478","10","3","grado+","aleatoria","250","44","44"
"479","10","3","grado+","aleatoria","250","47","47"
"481","10","3","grado+","aleatoria","250","42","42"
"480","10","3","grado+","aleatoria","250","49","49"
"482","10","3","grado+","aleatoria","250","48","48"
"483","10","3","grado+","aleatoria","250","46","46"
"484","10","3","grado+","aleatoria","250","46","46"
"485","10","3","grado+","aleatoria","250","48","48"
"488","10","3","grado+","aleatoria","250","53","53"
"490","10","3","grado+","aleatoria","250","49","49"
"487","10","3","grado+","aleatoria","250","60","60"
"486","10","3","grado+","aleatoria","250","68","68"
"489","10","3","grado+","aleatoria","250","65","65"
"492","10","3","grado+","aleatoria","250","59","59"
"493","10","3","grado+","aleatoria","250","41","41"
"491","10","3","grado+","aleatoria","250","71","71"
"494","10","3","grado+","aleatoria","250","44","44"
"495","10","3","grado+","aleatoria","250","42","42"
"496","10","3","grado+","aleatoria","250","41","41"
"499","10","3","grado+","aleatoria","250","56","56"
"498","10","3","grado+","aleatoria","250","70","70"
"497","10","3","grado+","aleatoria","250","69","69"
"500","10","3","grado+","aleatoria","250","68","68"
"501","10","3","grado+","aleatoria","300","55","55"
"502","10","3","grado+","aleatoria","300","57","57"
"504","10","3","grado+","aleatoria","300","62","62"
"507","10","3","grado+","aleatoria","300","42","42"
"503","10","3","grado+","aleatoria","300","74","74"
"505","10","3","grado+","aleatoria","300","57","57"
"506","10","3","grado+","aleatoria","300","70","70"
"508","10","3","grado+","aleatoria","300","55","55"
"509","10","3","grado+","aleatoria","300","64","64"
"510","10","3","grado+","aleatoria","300","54","54"
"511","10","3","grado+","aleatoria","300","52","52"
"515","10","3","grado+","aleatoria","300","37","37"
"516","10","3","grado+","aleatoria","300","33","33"
"512","10","3","grado+","aleatoria","300","51","51"
"513","10","3","grado+","aleatoria","300","57","57"
"514","10","3","grado+","aleatoria","300","52","52"
"517","10","3","grado+","aleatoria","300","48","48"
"518","10","3","grado+","aleatoria","300","60","60"
"520","10","3","grado+","aleatoria","300","47","47"
"521","10","3","grado+","aleatoria","300","44","44"
"523","10","3","grado+","aleatoria","300","43","43"
"524","10","3","grado+","aleatoria","300","37","37"
"519","10","3","grado+","aleatoria","300","56","56"
"522","10","3","grado+","aleatoria","300","50","50"
"525","10","3","grado+","aleatoria","300","54","54"
"527","10","3","grado+","aleatoria","300","38","38"
"526","10","3","grado+","aleatoria","300","49","49"
"528","10","3","grado+","aleatoria","300","46","46"
"532","10","3","grado+","aleatoria","300","41","41"
"530","10","3","grado+","aleatoria","300","56","56"
"531","10","3","grado+","aleatoria","300","60","60"
"529","10","3","grado+","aleatoria","300","67","67"
"535","10","3","grado+","aleatoria","300","36","36"
"534","10","3","grado+","aleatoria","300","46","46"
"533","10","3","grado+","aleatoria","300","53","53"
"536","10","3","grado+","aleatoria","300","33","33"
"537","10","3","grado+","aleatoria","300","38","38"
"540","10","3","grado+","aleatoria","300","36","36"
"538","10","3","grado+","aleatoria","300","53","53"
"544","10","3","grado+","aleatoria","300","39","39"
"539","10","3","grado+","aleatoria","300","62","62"
"541","10","3","grado+","aleatoria","300","56","56"
"542","10","3","grado+","aleatoria","300","67","67"
"546","10","3","grado+","aleatoria","300","44","44"
"548","10","3","grado+","aleatoria","300","51","51"
"545","10","3","grado+","aleatoria","300","73","73"
"547","10","3","grado+","aleatoria","300","50","50"
"543","10","3","grado+","aleatoria","300","92","92"
"551","10","3","grado+","aleatoria","300","39","39"
"549","10","3","grado+","aleatoria","300","65","65"
"552","10","3","grado+","aleatoria","300","55","55"
"555","10","3","grado+","aleatoria","300","41","41"
"553","10","3","grado+","aleatoria","300","48","48"
"554","10","3","grado+","aleatoria","300","52","52"
"556","10","3","grado+","aleatoria","300","40","40"
"550","10","3","grado+","aleatoria","300","84","84"
"557","10","3","grado+","aleatoria","300","55","55"
"558","10","3","grado+","aleatoria","300","61","61"
"561","10","3","grado+","aleatoria","300","48","48"
"559","10","3","grado+","aleatoria","300","51","51"
"562","10","3","grado+","aleatoria","300","56","56"
