"BehaviorSpace results (NetLogo 6.2.1)"
"ExperimentoDifusiónTresModelos.nlogo"
"DiffTresModelos"
"09/07/2022 12:37:26:086 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","la-red","num-nodos","[step]","ticks"
"243","mundoPequeño","150","28","28"
"246","mundoPequeño","150","28","28"
"247","mundoPequeño","150","30","30"
"248","mundoPequeño","150","25","25"
"245","mundoPequeño","150","27","27"
"242","mundoPequeño","150","22","22"
"241","mundoPequeño","150","31","31"
"251","mundoPequeño","150","23","23"
"250","mundoPequeño","150","25","25"
"254","mundoPequeño","150","22","22"
"252","mundoPequeño","150","30","30"
"253","mundoPequeño","150","29","29"
"234","mundoPequeño","150","22","22"
"255","mundoPequeño","150","27","27"
"256","mundoPequeño","150","31","31"
"259","mundoPequeño","150","25","25"
"257","mundoPequeño","150","30","30"
"258","mundoPequeño","150","24","24"
"261","mundoPequeño","150","26","26"
"260","mundoPequeño","150","29","29"
"263","mundoPequeño","150","31","31"
"265","mundoPequeño","150","28","28"
"266","mundoPequeño","150","24","24"
"268","mundoPequeño","150","25","25"
"267","mundoPequeño","150","26","26"
"269","mundoPequeño","150","27","27"
"262","mundoPequeño","150","26","26"
"249","mundoPequeño","150","25","25"
"264","mundoPequeño","150","29","29"
"270","mundoPequeño","150","30","30"
"274","mundoPequeño","150","22","22"
"272","mundoPequeño","150","29","29"
"276","mundoPequeño","150","24","24"
"277","mundoPequeño","150","30","30"
"278","mundoPequeño","150","29","29"
"279","mundoPequeño","150","23","23"
"273","mundoPequeño","150","25","25"
"282","mundoPequeño","150","24","24"
"275","mundoPequeño","150","23","23"
"280","mundoPequeño","150","26","26"
"283","mundoPequeño","150","24","24"
"284","mundoPequeño","150","27","27"
"281","mundoPequeño","150","33","33"
"287","mundoPequeño","150","24","24"
"286","mundoPequeño","150","31","31"
"289","mundoPequeño","150","26","26"
"285","mundoPequeño","150","41","41"
"290","mundoPequeño","150","21","21"
"291","mundoPequeño","150","24","24"
"293","mundoPequeño","150","26","26"
"294","mundoPequeño","150","28","28"
"296","mundoPequeño","150","27","27"
"292","mundoPequeño","150","24","24"
"271","mundoPequeño","150","26","26"
"298","mundoPequeño","150","22","22"
"297","mundoPequeño","150","31","31"
"300","mundoPequeño","150","20","20"
"299","mundoPequeño","150","25","25"
"295","mundoPequeño","150","39","39"
"303","mundoPequeño","200","31","31"
"305","mundoPequeño","200","29","29"
"304","mundoPequeño","200","25","25"
"306","mundoPequeño","200","32","32"
"302","mundoPequeño","200","29","29"
"310","mundoPequeño","200","24","24"
"288","mundoPequeño","150","24","24"
"309","mundoPequeño","200","45","45"
"301","mundoPequeño","200","39","39"
"313","mundoPequeño","200","25","25"
"308","mundoPequeño","200","27","27"
"312","mundoPequeño","200","27","27"
"314","mundoPequeño","200","35","35"
"315","mundoPequeño","200","36","36"
"307","mundoPequeño","200","28","28"
"317","mundoPequeño","200","28","28"
"318","mundoPequeño","200","26","26"
"311","mundoPequeño","200","32","32"
"316","mundoPequeño","200","31","31"
"324","mundoPequeño","200","39","39"
"320","mundoPequeño","200","27","27"
"321","mundoPequeño","200","34","34"
"325","mundoPequeño","200","34","34"
"323","mundoPequeño","200","29","29"
