"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidades.nlogo"
"VillageCentralidad"
"09/07/2022 13:27:17:692 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-semillas","tipo-semillas","[step]","ticks"
"353","3","degree","65","65"
"355","3","degree","65","65"
"356","3","degree","80","80"
"358","3","degree","53","53"
"357","3","degree","58","58"
"360","3","degree","57","57"
"350","3","degree","238","238"
"359","3","degree","84","84"
"362","3","degree","56","56"
"363","3","degree","55","55"
"361","3","degree","136","136"
"365","3","degree","67","67"
"364","3","degree","95","95"
"366","3","degree","64","64"
"371","3","degree","29","29"
"368","3","degree","62","62"
"369","3","degree","53","53"
"367","3","degree","101","101"
"372","3","degree","80","80"
"370","3","degree","96","96"
"373","3","degree","73","73"
"374","3","degree","62","62"
"375","3","degree","66","66"
"377","3","degree","64","64"
"376","3","degree","72","72"
"378","3","degree","47","47"
"381","3","degree","46","46"
"382","3","degree","48","48"
"379","3","degree","64","64"
"380","3","degree","79","79"
"386","3","degree","45","45"
"385","3","degree","59","59"
"384","3","degree","62","62"
"383","3","degree","58","58"
"388","3","degree","43","43"
"387","3","degree","54","54"
"390","3","degree","62","62"
"391","3","degree","56","56"
"389","3","degree","75","75"
"392","3","degree","65","65"
"394","3","degree","55","55"
"395","3","degree","67","67"
"393","3","degree","112","112"
"397","3","degree","52","52"
"398","3","degree","53","53"
"399","3","degree","57","57"
"401","3","degree","49","49"
"396","3","degree","106","106"
"400","3","degree","111","111"
"402","3","degree","61","61"
"404","3","degree","67","67"
"405","3","degree","81","81"
"406","3","degree","66","66"
"407","3","degree","55","55"
"403","3","degree","114","114"
"408","3","degree","89","89"
"410","3","degree","67","67"
"409","3","degree","83","83"
"411","3","degree","52","52"
"413","3","degree","63","63"
"415","3","degree","43","43"
"412","3","degree","55","55"
"414","3","degree","80","80"
"416","3","degree","63","63"
"417","3","degree","71","71"
"419","3","degree","55","55"
"418","3","degree","78","78"
"421","3","degree","62","62"
"420","3","degree","55","55"
"422","3","degree","87","87"
"425","3","degree","54","54"
"423","3","degree","89","89"
"427","3","degree","73","73"
"424","3","degree","101","101"
"429","3","degree","58","58"
"426","3","degree","112","112"
"430","3","degree","72","72"
"428","3","degree","128","128"
"432","3","degree","70","70"
"431","3","degree","95","95"
"435","3","degree","49","49"
"433","3","degree","97","97"
"437","3","degree","51","51"
"438","3","degree","50","50"
"434","3","degree","112","112"
"436","3","degree","97","97"
"439","3","degree","48","48"
"441","3","degree","44","44"
"442","3","degree","51","51"
"440","3","degree","109","109"
"444","3","degree","57","57"
"443","3","degree","82","82"
"445","3","degree","82","82"
"447","3","degree","65","65"
"446","3","degree","73","73"
"448","3","degree","74","74"
"452","3","degree","40","40"
"449","3","degree","96","96"
"450","3","degree","77","77"
"451","3","degree","86","86"
"454","3","degree","45","45"
"453","3","degree","70","70"
"456","3","degree","55","55"
"455","3","degree","64","64"
"460","3","degree","43","43"
"457","3","degree","66","66"
"459","3","degree","62","62"
"464","3","degree","41","41"
"463","3","degree","54","54"
"458","3","degree","130","130"
"461","3","degree","112","112"
"462","3","degree","116","116"
"465","3","degree","65","65"
"466","3","degree","79","79"
"468","3","degree","67","67"
"469","3","degree","60","60"
"467","3","degree","115","115"
"472","3","degree","50","50"
"470","3","degree","82","82"
"473","3","degree","64","64"
"471","3","degree","74","74"
"475","3","degree","65","65"
"474","3","degree","93","93"
"477","3","degree","53","53"
"476","3","degree","67","67"
"478","3","degree","81","81"
"480","3","degree","60","60"
"479","3","degree","88","88"
"482","3","degree","63","63"
"481","3","degree","100","100"
"483","3","degree","87","87"
"486","3","degree","63","63"
"484","3","degree","89","89"
"487","3","degree","54","54"
"488","3","degree","60","60"
"485","3","degree","84","84"
"489","3","degree","73","73"
"490","3","degree","52","52"
"495","3","degree","57","57"
"492","3","degree","88","88"
"493","3","degree","94","94"
"496","3","degree","65","65"
"491","3","degree","93","93"
"494","3","degree","102","102"
"498","3","degree","68","68"
"497","3","degree","107","107"
"499","3","degree","56","56"
"501","3","degree","63","63"
